Employee_Name,EmpID,Full time status,GenderID,EmpStatusID,Process ScoreID,Process 1,Process 2,Process 3,Process 4,Process 5,Salary,Termd,PositionID,Position,State,Zip,DOB,Sex,MaritalDesc,CitizenDesc,HispanicLatino,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceComments,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
"Adinolfi, Wilson  K",10026,0,1,1,3.452978972,0.897436706,0.812209759,0.4760835,0.619887087,0.64736192,62506,0,19,Production Technician I,MA,1960,07-10-1983,M ,Single,US Citizen,No,07-05-2011,,N/A-StillEmployed,Active,D&A,Michael Albert,22,LinkedIn,Exceeds,4.6,5,0,1/17/2019,0,1
"Ait Sidi, Karthikeyan   ",10084,1,1,5,3.109274319,0.909351235,0.720030917,0.261627446,0.497158175,0.721106547,104437,1,27,Sr. DBA,MA,2148,05-05-1975,M ,Married,US Citizen,No,3/30/2015,6/16/2016,career change,Active,D&A,Simon Roup,4,Indeed,Fully Meets,4.96,3,6,2/24/2016,0,17
"Akinkuolie, Sarah",10196,1,0,5,3.880157874,0.695257903,0.997760303,0.801387847,0.98961796,0.396133861,64955,1,20,Production Technician II,MA,1810,09/19/88,F,Married,US Citizen,No,07-05-2011,9/24/2012,hours,Active,D&A,Kissy Sullivan,20,LinkedIn,Fully Meets,3.02,3,0,5/15/2012,0,3
"Alagbe,Trina",10088,1,0,1,2.669784813,0.513763429,0.627204922,0.845384399,0.227240602,0.456191461,64991,0,19,Production Technician I,MA,1886,09/27/88,F,Married,US Citizen,No,01-07-2008,,N/A-StillEmployed,Active,D&A,Elijiah Gray,16,Indeed,Fully Meets,4.84,5,0,01-03-2019,0,15
"Anderson, Carol ",10069,0,0,5,1.431987797,0.331311485,0.270636127,0.268284881,0.040949097,0.520806207,50825,1,19,Production Technician I,MA,2169,09-08-1989,F,Divorced,US Citizen,No,07-11-2011,09-06-2016,return to school,Active,D&A,Webster Butler,39,Google Search,Fully Meets,5,4,0,02-01-2016,0,2
"Anderson, Linda  ",10002,0,0,1,1.924381844,0.05045046,0.935757724,0.503420692,0.248938019,0.185814948,57568,0,19,Production Technician I,MA,1844,05/22/77,F,Single,US Citizen,No,01-09-2012,,N/A-StillEmployed,Active,D&A,Amy Dunn,11,LinkedIn,Exceeds,5,5,0,01-07-2019,0,15
"Andreola, Colby",10194,0,0,1,3.631546781,0.911688296,0.383245249,0.900289735,0.901719693,0.534603808,95660,0,24,Software Engineer,MA,2110,05/24/79,F,Single,US Citizen,No,11-10-2014,,N/A-StillEmployed,Active,D&A,Alex Sweetwater,10,LinkedIn,Fully Meets,3.04,3,4,01-02-2019,0,19
"Athwal, Sam",10062,0,1,1,3.086053984,0.627713937,0.898192234,0.69401734,0.202031111,0.664099362,59365,0,19,Production Technician I,MA,2199,02/18/83,M ,Widowed,US Citizen,No,9/30/2013,,N/A-StillEmployed,Active,D&A,Ketsia Liebig,19,Employee Referral,Fully Meets,5,4,0,2/25/2019,0,19
"Bachiochi, Linda",10114,0,0,3,2.604105968,0.865591951,0.460066489,0.271691343,0.045332163,0.961424022,47837,0,19,Production Technician I,MA,1902,02-11-1970,F,Single,US Citizen,No,07-06-2009,,N/A-StillEmployed,Active,D&A,Brannon Miller,12,Diversity Job Fair,Fully Meets,4.46,3,0,1/25/2019,0,4
"Bacong, Alejandro ",10250,0,1,1,2.581607469,0.414535556,0.809536079,0.076705032,0.62365771,0.657173091,50178,0,14,IT Support,MA,1886,01-07-1988,M ,Divorced,US Citizen,No,01-05-2015,,N/A-StillEmployed,Active,D&A,Peter Monroe,7,Indeed,Fully Meets,5,5,6,2/18/2019,0,16
